Roster Grade,Official Grade,Grading Basis,Program and Plan,Level,Session,StudentID,IsSenior,IsJunior,IsSophomore,IsBusinessAdmin,NumericalGrade
B+,B+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1680.0,0,1,0,1,3.3
B+,B+,GRD,Business Administration - Business Administration/Sociology (Minor),Junior,2021 - Fall - session 1,1683.0,0,1,0,1,3.3
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1689.0,0,1,0,1,4.0
C+,C+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1693.0,0,1,0,1,2.3
B-,B-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1697.0,1,0,0,1,2.7
A,A,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Junior,2021 - Fall - session 1,1699.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1712.0,0,1,0,1,4.0
B+,B+,GRD,Business Administration - Business Administration/Economics (Minor),Senior,2021 - Fall - session 1,1745.0,1,0,0,1,3.3
C-,C-,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci/Economics (Minor),Junior,2021 - Fall - session 1,1748.0,0,1,0,0,1.7
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1750.0,1,0,0,1,3.7
C+,C+,GRD,College of Arts and Sciences - Business Economics/History (Minor),Senior,2021 - Fall - session 1,1773.0,1,0,0,0,2.3
C+,C+,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 1,1784.0,0,1,0,0,2.3
B+,B+,GRD,"Business Administration - Business Administration/EmergPrep,HomelandSec&Cybsec",Junior,2021 - Fall - session 1,1818.0,0,1,0,1,3.3
B-,B-,GRD,College of Arts and Sciences - Economics/Business (Minor),Senior,2021 - Fall - session 1,1819.0,1,0,0,0,2.7
B,B,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Senior,2021 - Fall - session 1,1820.0,1,0,0,0,3.0
A,A,GRD,Criminal Justice - Criminal Justice/Business (Minor),Junior,2021 - Fall - session 1,1832.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration/Sociology,Senior,2021 - Fall - session 1,1843.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Senior,2021 - Fall - session 1,1845.0,1,0,0,1,4.0
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2021 - Fall - session 1,1846.0,1,0,0,0,4.0
A,A,GRD,Business Administration - Business Administration/Economics/Financial Market Regul (Minor)/Public,Junior,2021 - Fall - session 1,1847.0,0,1,0,1,4.0
A,A,GRD,Intended - Business Admin (intended),Junior,2021 - Fall - session 1,1857.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Senior,2021 - Fall - session 1,1859.0,1,0,0,1,4.0
B+,B+,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1862.0,0,1,0,1,3.3
A,A,GRD,Business Administration - Business Administration/Art (Minor),Senior,2021 - Fall - session 1,1866.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor)/Law & Philosophy (Minor),Senior,2021 - Fall - session 1,1872.0,1,0,0,1,4.0
A-,A-,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1882.0,0,1,0,1,3.7
B+,B+,GRD,Intended - Business Economics (intended)/Business Admin (intended),Junior,2021 - Fall - session 1,1886.0,0,1,0,0,3.3
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1895.0,1,0,0,1,4.0
C-,C-,GRD,College of Arts and Sciences - Business Economics/Creative Writing (Minor),Junior,2021 - Fall - session 1,1896.0,0,1,0,0,1.7
B+,B+,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1906.0,1,0,0,1,3.3
C-,C-,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,1912.0,1,0,0,1,1.7
B,B,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1923.0,1,0,0,1,3.0
D-,D-,GRD,Business Administration - Business Administration,Senior,2021 - Fall - session 1,1935.0,1,0,0,1,0.7
A-,A-,GRD,College of Arts and Sciences - English/Business (Minor),Junior,2021 - Fall - session 1,1938.0,0,1,0,0,3.7
A,A,GRD,Business Administration - Business Administration,Junior,2021 - Fall - session 1,1964.0,0,1,0,1,4.0
B+,B+,GRD,"Emerg Prep, HomelandSec&Cybsec - Informatics/Business (Minor)",Senior,2021 - Fall - session 1,1966.0,1,0,0,0,3.3
A-,A-,GRD,Business Administration - Business Administration/Informatics (Minor),Junior,2021 - Fall - session 1,1979.0,0,1,0,1,3.7
B,B,GRD,Business Administration - Business Administration/Computer Science,Junior,2021 - Fall - session 1,1981.0,0,1,0,1,3.0
B-,B-,GRD,Business Administration - Business Administration/Political Science (Minor),Junior,2021 - Fall - session 1,2001.0,0,1,0,1,2.7
A-,A-,GRD,Business Administration - Accounting/Business Administration,Junior,2021 - Fall - session 1,2030.0,0,1,0,1,3.7
B,B,GRD,College of Arts and Sciences - Business Economics,Junior,2021 - Fall - session 1,2033.0,0,1,0,0,3.0
D+,D+,GRD,Business Administration - Business Economics/Business Administration,Junior,2021 - Fall - session 1,2036.0,0,1,0,1,1.3
B,B,GRD,Business Administration - Business Administration/Computer Science/Economics (Minor),Senior,2021 - Fall - session 1,2038.0,1,0,0,1,3.0
A,A,GRD,Business Administration - Business Administration/Informatics (Minor),Junior,2021 - Fall - session 1,2063.0,0,1,0,1,4.0
A,A,GRD,Intended - Business Admin (intended),Junior,2021 - Fall - session 1,2066.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2021 - Fall - session 1,2067.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2021 - Fall - session 1,2075.0,0,1,0,1,4.0
C+,C+,GRD,College of Arts and Sciences - Business Economics/Spanish (Minor),Junior,2023 - summer,1045.0,0,1,0,0,2.3
B+,B+,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - summer,1073.0,1,0,0,0,3.3
B+,B+,GRD,College of Arts and Sciences - Mathematics/Business (Minor),Senior,2023 - summer,1138.0,1,0,0,0,3.3
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - summer,1167.0,0,1,0,1,3.7
A,A,GRD,Business Administration - Business Administration,Senior,2023 - summer,1190.0,1,0,0,1,4.0
C+,C+,GRD,Business Administration - Accounting/Business Administration,Junior,2023 - summer,1217.0,0,1,0,1,2.3
D+,D+,GRD,College of Arts and Sciences - Human Biology/Business (Minor),Junior,2023 - summer,1554.0,0,1,0,0,1.3
D-,D-,GRD,Business Administration - Business Administration,Junior,2023 - summer,1582.0,0,1,0,1,0.7
D+,D+,GRD,College of Arts and Sciences - Communication/Business (Minor),Senior,2023 - summer,1982.0,1,0,0,0,1.3
A-,A-,GRD,Business Administration - Business Administration/Music,Senior,2023 - summer,2039.0,1,0,0,1,3.7
D,D,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - spring,2037.0,1,0,0,0,1.0
B,B,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,1597.0,1,0,0,1,3.0
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - spring,1876.0,1,0,0,0,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,1811.0,1,0,0,1,4.0
B+,B+,GRD,Business Administration - Business Administration,Junior,2023 - spring,1743.0,0,1,0,1,3.3
C+,C+,GRD,Business Administration - Business Administration/History (Minor),Junior,2023 - spring,1382.0,0,1,0,1,2.3
A,A,GRD,Business Administration - Accounting/Business (Minor)/Mathematics (Minor),Senior,2023 - spring,1771.0,1,0,0,1,4.0
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - spring,2012.0,1,0,0,0,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1332.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Senior,2023 - spring,1098.0,1,0,0,1,4.0
D-,D-,GRD,College of Arts and Sciences - Human Biology/Business (Minor),Senior,2023 - spring,1327.0,1,0,0,0,0.7
B+,B+,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - spring,1254.0,1,0,0,0,3.3
C+,C+,GRD,College of Arts and Sciences - Mathematics/Business (Minor),Senior,2023 - spring,1289.0,1,0,0,0,2.3
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,1636.0,1,0,0,1,3.3
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,1160.0,1,0,0,1,4.0
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - spring,1468.0,1,0,0,0,4.0
A,A,GRD,Criminal Justice - Criminal Justice/Business (Minor)/Sociology (Minor),Senior,2023 - spring,1908.0,1,0,0,0,4.0
B-,B-,GRD,Business Administration - Business Administration,Senior,2023 - spring,1081.0,1,0,0,1,2.7
C,C,GRD,Business Administration - Business Administration,Senior,2023 - spring,1306.0,1,0,0,1,2.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,1709.0,1,0,0,1,4.0
C+,C+,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,2023 - spring,1184.0,1,0,0,1,2.3
A,A,GRD,College of Arts and Sciences - Human Biology/Business (Minor),Senior,2023 - spring,1673.0,1,0,0,0,4.0
A,A,GRD,Business Administration - Business Administration/Public Policy (Minor),Senior,2023 - spring,1064.0,1,0,0,1,4.0
A-,A-,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,1624.0,1,0,0,1,3.7
A,A,GRD,College of Arts and Sciences - Economics/Business (Minor),Senior,2023 - spring,1968.0,1,0,0,0,4.0
A,A,GRD,Coll Engineering & Applied Sci - Computer Science/Business (Minor)/Mathematics (Minor),Senior,2023 - spring,2047.0,1,0,0,0,4.0
A,A,GRD,College of Arts and Sciences - Biology/Business (Minor),Senior,2023 - spring,1999.0,1,0,0,0,4.0
A,A,GRD,Business Administration - Business Administration/History (Minor),Junior,2023 - spring,2049.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Mathematics (Minor),Senior,2023 - spring,1969.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1957.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - spring,1299.0,0,1,0,1,4.0
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,2023 - spring,2046.0,1,0,0,0,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1107.0,0,1,0,1,4.0
A-,A-,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2023 - spring,1640.0,0,1,0,1,3.7
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - spring,1992.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Film Studies (Minor),Junior,2023 - spring,1798.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - spring,1959.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,1430.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Biology (Minor)/Leadership (Minor),Junior,2023 - spring,1364.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1644.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Senior,2023 - spring,1213.0,1,0,0,1,4.0
A,A,GRD,College of Arts and Sciences - Communication/Business (Minor),Junior,2023 - spring,1260.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration,Senior,2023 - spring,1894.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1137.0,0,1,0,1,4.0
D-,D-,GRD,Business Administration - Accounting/Business Administration,Senior,2023 - spring,1275.0,1,0,0,1,0.7
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - spring,1240.0,0,1,0,1,4.0
A,A,GRD,"Emerg Prep, HomelandSec&Cybsec - Informatics",Junior,2023 - spring,1371.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2023 - spring,1974.0,0,1,0,1,4.0
D+,D+,GRD,College of Arts and Sciences - Business Economics,Junior,2023 - spring,1077.0,0,1,0,0,1.3
A-,A-,GRD,Business Administration - Business Administration/Sociology (Minor),Junior,2023 - spring,1230.0,0,1,0,1,3.7
A,A,GRD,Business Administration - Accounting/Mathematics/Business (Minor),Senior,2023 - spring,1325.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Senior,2023 - spring,1947.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1295.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Senior,2023 - spring,1388.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Anthropology (Minor),Junior,2023 - spring,1078.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Legal Studies (Minor),Senior,2023 - spring,1890.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Sociology (Minor),Senior,2023 - spring,1093.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1156.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1510.0,0,1,0,1,4.0
B-,B-,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - spring,1612.0,0,1,0,1,2.7
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1739.0,0,1,0,1,4.0
B+,B+,GRD,Business Administration - Business Administration/Sociology (Minor),Senior,2023 - spring,1772.0,1,0,0,1,3.3
A,A,GRD,Business Administration - Business Administration/Criminal Justice (Minor),Junior,2023 - spring,1793.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,1848.0,1,0,0,1,4.0
A,A,GRD,College of Arts and Sciences - Psychology/Business (Minor),Junior,2023 - spring,1873.0,0,1,0,0,4.0
A-,A-,GRD,Business Administration - Business Administration,Junior,2023 - spring,1002.0,0,1,0,1,3.7
A,A,GRD,Business Administration - Business Administration/Sociology (Minor),Junior,2023 - spring,1530.0,0,1,0,1,4.0
A-,A-,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - spring,1298.0,0,1,0,1,3.7
D+,D+,GRD,Business Administration - Business Administration,Junior,2023 - spring,1579.0,0,1,0,1,1.3
A,A,GRD,Intended - Business Admin (intended),Junior,2023 - spring,1927.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration,Senior,2023 - spring,1381.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2023 - spring,1806.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2023 - spring,1613.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2023 - spring,1741.0,0,1,0,1,4.0
A-,A-,GRD,Business Administration - Business Administration/Legal Studies (Minor),Junior,2023 - spring,1257.0,0,1,0,1,3.7
A,A,GRD,Business Administration - Accounting/Business Administration,Senior,2023 - spring,2042.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1194.0,0,1,0,1,4.0
A-,A-,GRD,Business Administration - Accounting/Business (Minor)/Communication (Minor),Senior,2023 - spring,1366.0,1,0,0,1,3.7
A,A,GRD,Coll Engineering & Applied Sci - Comp Science & Applied Math/Business (Minor)/Informatics (Minor)/,Junior,2023 - spring,1787.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration/Music (Minor),Junior,2023 - spring,1869.0,0,1,0,1,4.0
B+,B+,GRD,Public Affairs - Political Science/Business (Minor),Junior,2023 - spring,2031.0,0,1,0,0,3.3
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1151.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Economics (Minor),Junior,2023 - spring,1070.0,0,1,0,1,4.0
B-,B-,GRD,"Emerg Prep, HomelandSec&Cybsec - EmergPrep,HomelandSec&Cybsec/Business (Minor)",Junior,2023 - spring,1360.0,0,1,0,0,2.7
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1645.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Communication (Minor)/Theatre (Minor),Junior,2023 - spring,2021.0,0,1,0,1,4.0
B+,B+,GRD,Business Administration - Business Administration,Junior,2023 - spring,2051.0,0,1,0,1,3.3
A,A,GRD,Business Administration - Business Administration/Leadership (Minor),Junior,2023 - spring,1988.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2023 - spring,1436.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Computer Science (Minor),Junior,2023 - spring,1724.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Economics (Minor)/Leadership (Minor),Junior,2023 - spring,2057.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1649.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Creative Writing (Minor),Junior,2023 - spring,1148.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Public Health,Junior,2023 - spring,1023.0,0,1,0,1,4.0
A-,A-,GRD,Business Administration - Business Administration/French (Minor),Junior,2023 - spring,1062.0,0,1,0,1,3.7
A-,A-,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - spring,1652.0,0,1,0,1,3.7
A,A,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci/Economics (Minor),Senior,2023 - spring,1658.0,1,0,0,0,4.0
B,B,GRD,Business Administration - Business Administration,Junior,2023 - spring,1203.0,0,1,0,1,3.0
A,A,GRD,Business Administration - Business Administration/Legal Studies (Minor),Senior,2023 - spring,1842.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1885.0,0,1,0,1,4.0
D-,D-,GRD,Business Administration - Business Administration,Senior,2023 - spring,1129.0,1,0,0,1,0.7
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - spring,1446.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,2043.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Computer Science (Minor),Junior,2023 - spring,1113.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1675.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2023 - spring,1124.0,0,1,0,1,4.0
A,A,GRD,College of Arts and Sciences - Communication/Business (Minor),Senior,2023 - spring,1202.0,1,0,0,0,4.0
A,A,GRD,Business Administration - Business Administration/Economics (Minor),Junior,2023 - spring,1461.0,0,1,0,1,4.0
C-,C-,GRD,Business Administration - Business Administration,Junior,2023 - spring,1108.0,0,1,0,1,1.7
B,B,GRD,Business Administration - Business Administration,Junior,2023 - spring,1942.0,0,1,0,1,3.0
A,A,GRD,Business Administration - Accounting/Business (Minor)/Computer Science (Minor)/Economics (Minor),Junior,2023 - spring,1178.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1238.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Informatics (Minor),Junior,2023 - spring,1913.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Psychology (Minor),Junior,2023 - spring,1346.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business Administration/Psychology (Minor),Senior,2023 - spring,1304.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Economics (Minor),Junior,2023 - spring,1499.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - spring,2071.0,0,1,0,1,4.0
B,B,GRD,Business Administration - Business Administration,Junior,2023 - spring,1132.0,0,1,0,1,3.0
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2023 - spring,1159.0,0,1,0,1,4.0
B-,B-,GRD,Business Administration - Business Administration,Junior,2023 - spring,1109.0,0,1,0,1,2.7
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1778.0,0,1,0,1,4.0
D,D,GRD,Business Administration - Business Administration/Computer Science (Minor),Senior,2023 - spring,1169.0,1,0,0,1,1.0
B+,B+,GRD,Business Administration - Business Administration,Junior,2023 - spring,1179.0,0,1,0,1,3.3
C,C,GRD,College of Arts and Sciences - Business Economics,Junior,2023 - spring,1003.0,0,1,0,0,2.0
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,1399.0,1,0,0,1,3.3
A,A,GRD,College of Arts and Sciences - Economics/Informatics (Minor)/Japanese Studies (Minor),Senior,2023 - spring,1825.0,1,0,0,0,4.0
D,D,GRD,Business Administration - Business Administration,Senior,2023 - spring,1915.0,1,0,0,1,1.0
A,A,GRD,Business Administration - Business Administration,Senior,2023 - spring,1342.0,1,0,0,1,4.0
A,A,GRD,"Emerg Prep, HomelandSec&Cybsec - EmergPrep,HomelandSec&Cybsec/Business (Minor)",Senior,2023 - spring,1729.0,1,0,0,0,4.0
A-,A-,GRD,Business Administration - Business Administration,Senior,2023 - spring,1565.0,1,0,0,1,3.7
D,D,GRD,Intended - Accounting (intended),Junior,2023 - spring,1237.0,0,1,0,0,1.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - spring,1931.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1326.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - spring,1274.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Public Policy (Minor)/Political Science (Minor),Senior,2023 - spring,1131.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business Administration,Junior,2023 - spring,1276.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Journalism (Minor),Junior,2023 - spring,1665.0,0,1,0,1,4.0
B+,B+,GRD,Business Administration - Business Administration,Junior,2023 - spring,1893.0,0,1,0,1,3.3
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - spring,1170.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,2023 - spring,1406.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor)/Music (Minor),Senior,2023 - spring,1425.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - spring,1204.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Junior,2023 - spring,1273.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Senior,2023 - spring,1292.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,2023 - spring,1701.0,0,1,0,1,4.0
C-,C-,GRD,Business Administration - Business Administration,Junior,2023 - spring,2029.0,0,1,0,1,1.7
A-,A-,GRD,Intended - Business Admin (intended),Junior,2023 - spring,1434.0,0,1,0,0,3.7
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Senior,2023 - spring,1441.0,1,0,0,1,3.3
A,A,GRD,Business Administration - Digital Forensics/Business (Minor)/Chinese Studies (Minor),Junior,2023 - spring,1556.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Criminal Justice (Minor),Junior,2023 - spring,1440.0,0,1,0,1,4.0
